                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                  1.277,                0.91469,                 1.1385,                0.69552,                   0.65,                0.75882,                0.52657,                 1.1556,                 1.3035,                0.99695,              0.0004085,              0.0004085,              0.0004085
                     36,                 1.1563,                0.84649,                 1.1312,                0.86262,                0.59762,                 0.7475,                0.53531,                 1.1063,                 1.3703,                 1.0343,             0.00038375,             0.00038375,             0.00038375
                     37,                  1.157,                0.78442,                 1.1085,                0.85929,                0.54254,                 0.7101,                0.51892,                 1.0193,                 1.3729,                 1.0241,               0.000359,               0.000359,               0.000359
                     38,                 1.2129,                 0.8033,                 1.0897,                0.85614,                    0.6,                0.74043,                0.56027,                 0.9513,                 1.2291,                0.98612,             0.00033425,             0.00033425,             0.00033425
                     39,                 1.1661,                0.76439,                 1.1252,                0.78269,                   0.65,                0.78033,                 0.5696,                 1.0867,                 1.3528,                 1.0385,              0.0003095,              0.0003095,              0.0003095
                     40,                 1.1351,                0.75055,                 1.0909,                0.75261,                   0.65,                0.79359,                0.57009,                 1.1192,                 1.2721,                 1.0441,             0.00028475,             0.00028475,             0.00028475
                     41,                 1.0861,                0.70441,                 1.0557,                0.96682,                    0.6,                0.81277,                0.63217,                 1.0382,                 1.2537,                 1.0384,                0.00026,                0.00026,                0.00026
                     42,                 1.0775,                0.66411,                 1.0626,                0.98235,                    0.6,                0.80855,                0.61527,                 1.0402,                 1.2629,                 1.0277,             0.00023525,             0.00023525,             0.00023525
                     43,                 1.0531,                0.65812,                  1.067,                 0.9465,                    0.6,                0.80241,                0.56697,                 1.1446,                 1.2209,                  1.028,              0.0002105,              0.0002105,              0.0002105
                     44,                 1.0325,                0.62876,                 1.0696,                0.92065,                    0.6,                0.80497,                0.57992,                 1.1751,                 1.2364,                 1.0409,             0.00018575,             0.00018575,             0.00018575
                     45,                 1.0423,                0.65649,                   1.06,                0.93292,                    0.6,                0.79518,                0.59556,                 1.0195,                 1.2187,                 1.0147,               0.000161,               0.000161,               0.000161
                     46,                 1.0285,                0.63729,                 1.0211,                0.77089,                   0.65,                0.77302,                0.61216,                0.92711,                 1.1139,                0.96659,             0.00013625,             0.00013625,             0.00013625
                     47,                 1.0274,                0.62371,                 1.0644,                0.76188,                   0.65,                0.76084,                0.61371,                0.94425,                 1.1496,                0.98103,              0.0001115,              0.0001115,              0.0001115
                     48,                0.99588,                0.61084,                 1.0418,                 0.9554,                    0.6,                0.76268,                0.60315,                0.95944,                 1.0802,                0.96979,              8.675e-05,              8.675e-05,              8.675e-05
                     49,                0.98573,                0.60257,                 1.0317,                0.94869,                    0.6,                0.76488,                0.61085,                0.98891,                 1.1064,                 0.9766,                6.2e-05,                6.2e-05,                6.2e-05
                     50,                 1.0012,                0.62376,                 1.0408,                 0.9507,                    0.6,                0.76697,                0.61207,                 0.9992,                 1.1099,                0.97698,              3.725e-05,              3.725e-05,              3.725e-05
